Generate Grid,Apply Rules,Update Birds,Gen Render Instances,Clear Grid,Add Instances,Upload instances to GPU,Render Forward,MainLoop,ProfilerPrintTimeStamps,
18540737,1632884,17104286,22810907,3871754,62333678,1587855,184778,97881539,3045470,
18623654,1772041,17387854,22858489,4013575,62890084,1839899,247567,98505507,3102561,
19001128,1693786,17297278,22908624,3945051,63158371,1741516,184038,98484786,3059345,
19795333,1687977,17190052,22939519,3901243,63835471,1783141,201539,101264707,2914306,
43243972,2688901,19548987,22988988,4215188,90003351,1867353,209679,161579961,2937468,
16933124,1903539,18144837,22857231,4084430,62026800,1605911,195989,99539657,2989638,
14386266,1602544,17125709,22962792,4070333,58553166,1780070,212713,100640814,3077253,
14787864,1832906,17399546,22860043,4093051,59149199,1869092,193362,96220757,3129386,
19565045,2556811,18776390,23006230,4095641,65451039,1812704,199837,100733979,2870127,
23108017,2951046,19830187,22918170,4109257,69972402,2130978,282939,103244540,3063527,
22623576,2728491,19709937,22771243,4121837,69233993,1766787,191660,139711927,3038662,
21798772,3374844,20796146,23219794,4351089,70174237,1913455,223036,109582788,2928439,
23657615,2955301,20171031,22929344,4106001,70872020,1706921,183224,108439785,3055424,
19606633,2783621,19697246,22937706,4187327,66435276,1950825,265438,104931481,2953267,
21436875,3191176,20112423,22906811,4121615,68584643,1751247,200096,109102566,3263252,
23527375,3278237,20444424,23241957,4216594,71437565,1930105,201169,105623678,3457206,
24891713,3556403,21088409,22975816,4089499,73052652,1710769,187331,144606508,2918672,
21830296,2603616,19916175,22968712,4157949,68879274,1789949,191993,105274028,3150809,
22763584,3370034,21147350,22933821,4150142,71002778,1700372,185629,107153997,2957669,
23331756,3160725,19994134,22986694,4018163,70339553,1655454,181078,105222042,3021199,
20588021,2555960,19468956,22876064,4200573,67139830,1691196,182669,103074193,3110850,
13130338,1548820,17266272,22898634,4401631,57704978,1944757,232730,93295427,3068483,
